,Date, Open, High, Low, Close, Volume
0,2018-04-12,173.41,175.0,173.04,174.14,22889285
1,2018-04-11,172.23,173.9232,171.7,172.44,22431640
2,2018-04-10,173.0,174.0,171.53,173.25,28614241
3,2018-04-09,169.88,173.09,169.845,170.05,29017718
4,2018-04-06,170.97,172.48,168.2,168.38,35005290
5,2018-04-05,172.58,174.2304,172.08,172.8,26933197
6,2018-04-04,164.88,172.01,164.77,171.61,34605489
7,2018-04-03,167.64,168.7455,164.88,168.39,30278046
8,2018-04-02,166.64,168.94,164.47,166.68,37586791
9,2018-03-29,167.805,171.75,166.9,167.78,38398505
10,2018-03-28,167.25,170.02,165.19,166.48,41668545
11,2018-03-27,173.68,175.15,166.92,168.34,40922579
12,2018-03-26,168.07,173.1,166.44,172.77,37541236
13,2018-03-23,168.39,169.92,164.94,164.94,41028784
14,2018-03-22,170.0,172.68,168.6,168.85,41490767
15,2018-03-21,175.04,175.09,171.26,171.27,37054935
16,2018-03-20,175.24,176.8,174.94,175.24,19649350
17,2018-03-19,177.32,177.47,173.66,175.3,33446771
18,2018-03-16,178.65,179.12,177.62,178.02,39404688
19,2018-03-15,178.5,180.24,178.0701,178.65,22743798
20,2018-03-14,180.32,180.52,177.81,178.44,29368356
21,2018-03-13,182.59,183.5,179.24,179.97,31693529
22,2018-03-12,180.29,182.39,180.21,181.72,32207081
23,2018-03-09,177.96,180.0,177.39,179.98,32130605
24,2018-03-08,175.48,177.12,175.07,176.94,23774107
25,2018-03-07,174.94,175.85,174.27,175.03,31703462
26,2018-03-06,177.91,178.25,176.13,176.67,23788506
27,2018-03-05,175.21,177.74,174.52,176.82,28401366
28,2018-03-02,172.8,176.3,172.45,176.21,38453950
29,2018-03-01,178.54,179.775,172.66,175.0,48801970
30,2018-02-28,179.26,180.615,178.05,178.12,37782138
31,2018-02-27,179.1,180.48,178.16,178.39,38928125
32,2018-02-26,176.35,179.39,176.21,178.97,38162174
33,2018-02-23,173.67,175.65,173.54,175.5,33812360
34,2018-02-22,171.8,173.95,171.71,172.5,30991940
35,2018-02-21,172.83,174.12,171.01,171.07,37471623
36,2018-02-20,172.05,174.26,171.42,171.85,33930540
37,2018-02-16,172.36,174.82,171.77,172.43,40176091
38,2018-02-15,169.79,173.09,169.0,172.99,51147171
39,2018-02-14,163.045,167.54,162.88,167.37,40644933
40,2018-02-13,161.95,164.75,161.65,164.34,32549163
41,2018-02-12,158.5,163.89,157.51,162.71,60819539
42,2018-02-09,157.07,157.89,150.24,156.41,70672608
43,2018-02-08,160.29,161.0,155.03,155.15,54390516
44,2018-02-07,163.085,163.4,159.0685,159.54,51608580
45,2018-02-06,154.83,163.72,154.0,163.03,68243838
46,2018-02-05,159.1,163.88,156.0,156.49,72738522
47,2018-02-02,166.0,166.8,160.1,160.5,86593825
48,2018-02-01,167.165,168.62,166.76,167.78,47230787
49,2018-01-31,166.87,168.4417,166.5,167.43,32478930
50,2018-01-30,165.525,167.37,164.7,166.97,46048185
51,2018-01-29,170.16,170.16,167.07,167.96,50640406
52,2018-01-26,172.0,172.0,170.06,171.51,39143011
53,2018-01-25,174.505,174.95,170.53,171.11,41529004
54,2018-01-24,177.25,177.3,173.2,174.22,51105090
55,2018-01-23,177.3,179.44,176.82,177.04,32689146
56,2018-01-22,177.3,177.78,176.6016,177.0,27108551
57,2018-01-19,178.61,179.58,177.41,178.46,32425067
58,2018-01-18,179.37,180.1,178.25,179.26,31193352
59,2018-01-17,176.15,179.25,175.07,179.1,34386836
60,2018-01-16,177.9,179.39,176.14,176.19,29565947
61,2018-01-12,176.18,177.36,175.65,177.09,25418080
62,2018-01-11,174.59,175.4886,174.49,175.28,18667729
63,2018-01-10,173.16,174.3,173.0,174.29,23959895
64,2018-01-09,174.55,175.06,173.41,174.33,21583997
65,2018-01-08,174.35,175.61,173.93,174.35,20567766
66,2018-01-05,173.44,175.37,173.05,175.0,23660018
67,2018-01-04,172.54,173.47,172.08,173.03,22434597
68,2018-01-03,172.53,174.55,171.96,172.23,29517899
69,2018-01-02,170.16,172.3,169.26,172.26,25555934
70,2017-12-29,170.52,170.59,169.22,169.23,25999922
71,2017-12-28,171.0,171.85,170.48,171.08,16480187
72,2017-12-27,170.1,170.78,169.71,170.6,21498213
73,2017-12-26,170.8,171.47,169.679,170.57,33185536
