Date, Open, High, Low, Close, Volume
04/12/18, 166.98, 167.45, 163.10, 163.87, 38262956
04/11/18, 165.36, 168.65, 163.25, 166.32, 56144633
04/10/18, 157.93, 165.98, 157.01, 165.04, 58947041
04/09/18, 157.82, 160.53, 156.04, 157.93, 34915227
04/06/18, 157.73, 161.42, 156.81, 157.20, 41644812
04/05/18, 161.56, 161.575, 156.65, 159.34, 41449609
04/04/18, 152.025, 155.56, 150.51, 155.10, 49885584
04/03/18, 156.55, 157.39, 150.81, 156.11, 42543865
04/02/18, 157.81, 159.20, 154.111, 155.39, 36795991
03/29/18, 155.15, 161.42, 154.14, 159.79, 59434293
03/28/18, 151.65, 155.88, 150.80, 153.03, 60029170
03/27/18, 156.31, 162.85, 150.75, 152.22, 79116995
03/26/18, 160.82, 161.10, 149.02, 160.06, 126116634
03/23/18, 165.44, 167.10, 159.02, 159.39, 53609706
03/22/18, 166.13, 170.27, 163.72, 164.89, 73742979
03/21/18, 164.80, 173.40, 163.30, 169.39, 106598834
03/20/18, 167.47, 170.20, 161.95, 168.15, 129851768
03/19/18, 177.01, 177.17, 170.06, 172.56, 88140060
03/16/18, 184.49, 185.33, 183.41, 185.09, 24403438
03/15/18, 183.24, 184.00, 182.19, 183.86, 15645035
03/14/18, 182.60, 184.25, 181.85, 184.19, 16821728
03/13/18, 185.61, 185.99, 181.11, 181.88, 18067477
03/12/18, 185.23, 186.10, 184.22, 184.76, 15301229
03/09/18, 183.91, 185.51, 183.21, 185.23, 18188067
03/08/18, 183.56, 184.40, 181.45, 182.34, 17225946
03/07/18, 178.74, 183.82, 178.07, 183.71, 19097293
03/06/18, 181.78, 182.38, 179.11, 179.78, 15086784
03/05/18, 176.20, 181.1475, 175.89, 180.40, 16189280
03/02/18, 173.29, 177.11, 172.99, 176.62, 20025905
03/01/18, 179.01, 180.12, 174.41, 175.94, 23201626
02/28/18, 182.30, 182.88, 178.14, 178.32, 18783039
02/27/18, 184.45, 184.70, 181.46, 181.46, 15849806
02/26/18, 184.58, 185.66, 183.2228, 184.93, 17599703
02/23/18, 179.90, 183.39, 179.51, 183.29, 19007288
02/22/18, 178.70, 180.21, 177.41, 178.99, 18464192
02/21/18, 176.71, 181.27, 176.40, 177.91, 23200804
02/20/18, 175.77, 177.95, 175.11, 176.01, 21204921
02/16/18, 178.99, 179.88, 176.30, 177.36, 21015610
02/15/18, 180.50, 180.50, 176.84, 179.96, 20922120
02/14/18, 173.45, 179.81, 173.2119, 179.52, 28929704
02/13/18, 175.62, 175.97, 173.10, 173.15, 21809350
02/12/18, 177.06, 177.545, 171.84, 176.41, 32092133
02/09/18, 174.76, 176.90, 167.18, 176.11, 39887626
02/08/18, 181.01, 181.84, 171.4815, 171.58, 38478321
02/07/18, 184.15, 185.0817, 179.95, 180.18, 27601886
02/06/18, 178.57, 185.77, 177.74, 185.31, 37758505
02/05/18, 186.93, 190.61, 180.61, 181.26, 33128206
02/02/18, 192.04, 194.21, 189.98, 190.28, 26677484
02/01/18, 188.22, 195.32, 187.89, 193.09, 54211293
01/31/18, 188.37, 189.83, 185.22, 186.89, 43275144
01/30/18, 187.6232, 188.18, 181.84, 187.12, 20858556
01/29/18, 188.75, 188.84, 185.6301, 185.98, 20453172
01/26/18, 187.75, 190.00, 186.81, 190.00, 17759212
01/25/18, 187.95, 188.62, 186.60, 187.48, 17377740
01/24/18, 189.89, 190.66, 186.52, 186.55, 24334548
01/23/18, 186.05, 189.55, 185.55, 189.35, 25678781
01/22/18, 180.80, 185.39, 180.41, 185.37, 21059464
01/19/18, 180.85, 182.37, 180.1702, 181.29, 26826540
01/18/18, 178.13, 180.98, 177.08, 179.80, 23304901
01/17/18, 179.26, 179.32, 175.80, 177.60, 27992376
01/16/18, 181.50, 181.75, 178.04, 178.39, 36183842
01/12/18, 178.06, 181.48, 177.40, 179.37, 77551299
01/11/18, 188.40, 188.40, 187.38, 187.77, 9588587
01/10/18, 186.94, 187.89, 185.63, 187.84, 10529894
01/09/18, 188.70, 188.80, 187.10, 187.87, 12393057
01/08/18, 187.20, 188.90, 186.33, 188.28, 17994726
01/05/18, 185.59, 186.90, 184.93, 186.85, 13574535
01/04/18, 184.90, 186.21, 184.0996, 184.33, 13880896
01/03/18, 181.88, 184.78, 181.33, 184.67, 16886563
01/02/18, 177.68, 181.58, 177.55, 181.42, 18151903
12/29/17, 178.00, 178.85, 176.46, 176.46, 10261456
12/28/17, 177.95, 178.9367, 177.68, 177.92, 12220760
12/27/17, 176.55, 178.44, 176.26, 177.62, 9496071
12/26/17, 176.63, 177.00, 174.67, 175.99, 8897286
12/22/17, 177.14, 177.53, 176.23, 177.20, 8509451
12/21/17, 177.94, 178.68, 177.05, 177.45, 11600700
12/20/17, 179.81, 179.81, 177.36, 177.89, 11860497
12/19/17, 179.95, 180.08, 178.22, 179.51, 14920582
12/18/17, 181.01, 181.30, 179.75, 180.82, 17265376
12/15/17, 179.02, 180.4934, 178.36, 180.18, 28463101
12/14/17, 178.29, 180.3601, 177.68, 178.39, 13590999
12/13/17, 177.30, 179.16, 177.25, 178.30, 14615718
12/12/17, 178.60, 179.18, 176.60, 176.96, 16854098
12/11/17, 179.30, 180.22, 178.80, 179.04, 13168575
12/08/17, 181.53, 182.28, 178.7401, 179.00, 19883764
12/07/17, 175.80, 180.39, 175.80, 180.14, 20404533
12/06/17, 172.50, 176.77, 171.90, 176.06, 20255846
12/05/17, 170.45, 175.38, 169.01, 172.83, 20184908
12/04/17, 176.29, 176.57, 170.79, 171.47, 24459422
12/01/17, 176.03, 177.48, 172.34, 175.10, 20182523
11/30/17, 176.85, 178.275, 175.20, 177.18, 25307601
11/29/17, 181.89, 181.97, 174.00, 175.13, 41933484
11/28/17, 183.51, 184.25, 182.09, 182.42, 14379674
11/27/17, 182.56, 183.73, 181.99, 183.03, 12344516
11/24/17, 180.40, 183.15, 180.29, 182.78, 9426283
11/22/17, 181.30, 181.73, 180.44, 180.87, 10376329
11/21/17, 179.15, 181.89, 178.99, 181.86, 14503990
11/20/17, 178.87, 179.50, 178.10, 178.74, 10052391
11/17/17, 179.30, 179.98, 178.90, 179.00, 13017980
11/16/17, 178.76, 179.83, 178.50, 179.59, 15607582
11/15/17, 176.66, 178.57, 176.40, 177.95, 10253667
11/14/17, 178.13, 178.97, 177.18, 178.07, 9585868
11/13/17, 177.50, 179.04, 177.30, 178.77, 9523447
11/10/17, 178.35, 179.0999, 177.96, 178.46, 11070189
11/09/17, 178.31, 179.40, 177.09, 179.30, 12610335
11/08/17, 179.79, 180.35, 179.11, 179.56, 10494149
11/07/17, 180.50, 180.7478, 178.96, 180.25, 12928182
11/06/17, 178.56, 180.45, 178.31, 180.17, 13312741
11/03/17, 179.29, 179.86, 176.71, 178.92, 17822131
11/02/17, 180.63, 181.94, 177.34, 178.92, 35529893
11/01/17, 182.36, 182.90, 180.57, 182.66, 40918341
10/31/17, 180.57, 180.80, 178.94, 180.06, 20174231
10/30/17, 179.26, 180.69, 177.61, 179.87, 24353160
10/27/17, 174.15, 178.21, 173.90, 177.88, 30285281
10/26/17, 171.38, 172.285, 170.39, 170.63, 11833141
10/25/17, 171.90, 172.25, 168.89, 170.60, 15868197
10/24/17, 172.30, 173.24, 171.50, 171.80, 12267913
10/23/17, 175.20, 175.34, 171.25, 171.27, 13852658
10/20/17, 175.50, 175.88, 174.63, 174.98, 12602238
10/19/17, 174.93, 176.03, 172.63, 174.56, 14048350
10/18/17, 176.65, 176.74, 175.75, 176.03, 12752351
10/17/17, 174.71, 176.13, 174.36, 176.11, 15990079
10/16/17, 174.49, 175.00, 174.06, 174.52, 11498752
10/13/17, 173.45, 174.65, 173.20, 173.74, 13658307
10/12/17, 172.61, 173.85, 172.29, 172.55, 10461961
10/11/17, 171.95, 172.78, 171.40, 172.74, 11283663
10/10/17, 173.00, 173.20, 170.80, 171.59, 11341081
10/09/17, 172.70, 174.88, 172.00, 172.50, 14570413
10/06/17, 170.25, 172.37, 169.75, 172.23, 13124473
10/05/17, 169.18, 171.31, 168.60, 171.24, 14580628
10/04/17, 169.83, 170.67, 168.29, 168.42, 12127887
10/03/17, 169.30, 170.73, 169.20, 169.96, 8190273
10/02/17, 171.39, 171.87, 168.75, 169.47, 13392280
09/29/17, 168.83, 171.66, 168.81, 170.87, 15340366
09/28/17, 167.94, 169.0696, 167.16, 168.73, 12178747
09/27/17, 165.90, 168.34, 165.57, 167.68, 19242548
09/26/17, 164.50, 165.50, 162.78, 164.21, 23363335
09/25/17, 169.24, 169.30, 161.56, 162.87, 41251583
09/22/17, 170.21, 171.73, 169.22, 170.54, 12097138
09/21/17, 171.69, 172.27, 170.01, 171.11, 11161412
09/20/17, 172.50, 173.05, 170.70, 172.17, 12264125
09/19/17, 170.62, 172.56, 170.36, 172.52, 13168595
09/18/17, 171.99, 172.07, 169.34, 170.01, 12954013
09/15/17, 170.88, 172.34, 170.26, 171.64, 15660539
09/14/17, 172.26, 172.28, 170.50, 170.96, 15615654
09/13/17, 173.01, 173.17, 172.06, 173.05, 9119295
09/12/17, 173.76, 174.00, 171.75, 172.96, 11186328
09/11/17, 172.40, 173.89, 172.20, 173.51, 12372040
09/08/17, 173.09, 173.49, 170.80, 170.95, 10998459
09/07/17, 171.94, 173.3067, 170.27, 173.21, 18049527
09/06/17, 170.91, 172.48, 169.57, 172.09, 13906342
09/05/17, 171.27, 172.3875, 169.55, 170.72, 13221127
09/01/17, 172.40, 172.915, 171.31, 172.02, 11677589
08/31/17, 170.40, 172.145, 170.06, 171.97, 17226465
08/30/17, 168.17, 170.18, 167.63, 169.92, 11138293
08/29/17, 165.25, 168.425, 165.00, 168.05, 11120986
08/28/17, 166.91, 167.70, 166.33, 167.24, 8553741
08/25/17, 167.86, 168.38, 166.18, 166.32, 12614477
08/24/17, 168.88, 169.29, 166.41, 167.74, 14030420
08/23/17, 168.84, 169.36, 168.20, 168.71, 9856473
08/22/17, 168.28, 169.87, 167.15, 169.64, 11390975
08/21/17, 167.16, 168.00, 165.82, 167.78, 11907488
08/18/17, 166.84, 168.67, 166.21, 167.41, 15093638
08/17/17, 169.34, 169.86, 166.85, 166.91, 17216030
08/16/17, 171.25, 171.38, 169.24, 170.00, 15779924
08/15/17, 171.49, 171.50, 170.01, 171.00, 8729172
08/14/17, 170.09, 171.08, 169.29, 170.75, 12954231
08/11/17, 167.95, 168.82, 166.85, 168.08, 13791153
08/10/17, 170.06, 170.59, 166.85, 167.40, 20832746
08/09/17, 169.98, 171.45, 169.56, 171.18, 10814984
08/08/17, 171.88, 173.05, 170.62, 171.23, 14393524
08/07/17, 169.95, 172.06, 169.66, 171.98, 12787844
08/04/17, 168.97, 170.06, 168.69, 169.62, 10777727
08/03/17, 169.30, 169.70, 168.25, 168.59, 10793841
08/02/17, 170.30, 170.55, 166.91, 169.30, 17433774
08/01/17, 169.82, 170.47, 169.05, 169.86, 14384957
07/31/17, 172.00, 172.72, 168.55, 169.25, 25478945
07/28/17, 169.07, 173.43, 169.05, 172.45, 24557553
07/27/17, 174.70, 175.49, 167.50, 170.44, 68910708
07/26/17, 166.01, 166.01, 164.10, 165.61, 35236867
07/25/17, 165.01, 165.54, 163.8619, 165.28, 15383241
07/24/17, 164.64, 166.17, 164.31, 166.00, 17366971
07/21/17, 164.16, 165.05, 163.75, 164.43, 14744002
07/20/17, 164.80, 165.00, 162.81, 164.53, 18523107
07/19/17, 163.59, 165.70, 163.17, 164.14, 26273642
07/18/17, 159.66, 163.73, 159.42, 162.86, 23722910
07/17/17, 160.25, 160.78, 158.81, 159.73, 12858836
07/14/17, 160.13, 160.32, 159.3254, 159.97, 16371207
07/13/17, 158.74, 159.78, 158.4227, 159.26, 13929236
07/12/17, 156.49, 159.16, 156.20, 158.90, 22739388
07/11/17, 153.37, 155.4225, 152.91, 155.27, 13667744
07/10/17, 151.69, 153.98, 151.51, 153.50, 13378672
07/07/17, 149.25, 151.99, 149.19, 151.44, 13615931
07/06/17, 149.03, 150.04, 148.00, 148.82, 14951802
07/05/17, 149.00, 150.85, 148.13, 150.34, 14334290
07/03/17, 151.72, 152.15, 147.80, 148.43, 13862735
06/30/17, 151.90, 151.92, 150.06, 150.98, 17666022
06/29/17, 152.28, 152.50, 148.9175, 151.04, 23973482
06/28/17, 150.92, 153.47, 149.86, 153.24, 16719104
06/27/17, 152.84, 153.31, 150.39, 150.58, 19360766
06/26/17, 156.25, 156.50, 153.1954, 153.59, 18049651
06/23/17, 152.72, 155.20, 152.65, 155.07, 18026977
06/22/17, 153.01, 154.55, 152.91, 153.40, 13005535
06/21/17, 152.36, 154.08, 151.88, 153.91, 15039834
06/20/17, 152.88, 153.84, 152.21, 152.25, 14743853
06/19/17, 151.71, 153.57, 151.71, 152.87, 19026462
06/16/17, 149.59, 150.83, 148.60, 150.64, 22882417
06/15/17, 147.67, 150.0366, 146.3747, 149.80, 18994152
06/14/17, 151.26, 152.40, 149.05, 150.25, 20808759
06/13/17, 150.15, 151.18, 148.90, 150.68, 20483350
06/12/17, 148.17, 149.195, 144.56, 148.44, 33170180
06/09/17, 154.77, 155.59, 146.61, 149.60, 35577676
06/08/17, 154.08, 154.73, 153.10, 154.71, 17799449
06/07/17, 153.27, 153.75, 152.34, 153.12, 12066657
06/06/17, 153.41, 154.52, 152.48, 152.81, 13457119
06/05/17, 153.64, 154.7088, 153.41, 153.63, 12520387
06/02/17, 151.85, 153.63, 151.30, 153.61, 16854365
06/01/17, 151.75, 152.29, 150.30, 151.53, 14530600
05/31/17, 152.70, 153.35, 151.09, 151.46, 18023917
05/30/17, 151.97, 152.90, 151.64, 152.38, 13226007
05/26/17, 152.23, 152.25, 151.15, 152.13, 14996185
05/25/17, 150.30, 152.59, 149.95, 151.96, 19891352
05/24/17, 148.51, 150.23, 148.42, 150.04, 17940668
05/23/17, 148.52, 148.81, 147.25, 148.07, 12817837
05/22/17, 148.08, 148.59, 147.69, 148.24, 12586712
05/19/17, 148.445, 149.39, 147.96, 148.06, 16187892
