,Date, Open, High, Low, Close, Volume
0,2018-04-12,15.24,15.5,14.77,14.92,21276192
1,2018-04-11,14.44,14.98,14.42,14.8,17711174
2,2018-04-10,14.29,14.58,14.18,14.48,16351816
3,2018-04-09,14.28,14.47,14.04,14.15,12383904
4,2018-04-06,14.35,14.57,13.98,14.25,13533877
5,2018-04-05,14.7,14.96,14.195,14.39,17015408
6,2018-04-04,13.69,14.78,13.62,14.59,20131765
7,2018-04-03,14.8,14.9,13.8,14.08,33231754
8,2018-04-02,15.67,15.73,14.45,14.46,30892553
9,2018-03-29,15.94,16.12,15.65,15.87,15434487
10,2018-03-28,16.03,16.08,15.55,15.95,20652697
11,2018-03-27,16.26,16.75,16.06,16.2,24737590
12,2018-03-26,16.45,16.55,15.9,16.25,13650257
13,2018-03-23,16.67,16.74,16.13,16.36,16427972
14,2018-03-22,16.32,16.85,16.14,16.57,20098592
15,2018-03-21,16.17,16.865,16.12,16.57,22924148
16,2018-03-20,16.4,16.48,15.62,16.0,27101526
17,2018-03-19,17.01,17.1,16.11,16.42,24708720
18,2018-03-16,17.2,17.238,16.79,17.01,22292233
19,2018-03-15,17.86,17.88,16.91,17.2,22147238
20,2018-03-14,17.52,17.97,17.49,17.85,14665438
21,2018-03-13,18.1,18.23,17.22,17.51,17667510
22,2018-03-12,17.83,18.35,17.78,18.11,17055843
23,2018-03-09,17.98,18.12,17.56,17.88,18161944
24,2018-03-08,18.08,18.26,17.53,17.65,19249531
25,2018-03-07,17.85,18.51,17.81,18.02,27119093
26,2018-03-06,18.29,18.4,17.94,18.01,18427299
27,2018-03-05,17.82,18.42,17.58,18.25,22898457
28,2018-03-02,16.83,18.08,16.73,18.01,31631377
29,2018-03-01,17.5,17.63,16.655,17.21,25979088
30,2018-02-28,16.77,17.65,16.7,17.32,34520652
31,2018-02-27,17.06,17.45,16.31,16.32,30022426
32,2018-02-26,17.45,17.59,17.0,17.09,26423221
33,2018-02-23,17.6,17.94,17.33,17.45,24231405
34,2018-02-22,18.48,18.53,17.05,17.51,51776404
35,2018-02-21,18.9,19.19,18.38,18.64,31691311
36,2018-02-20,19.31,19.8,18.57,18.93,42723117
37,2018-02-16,19.84,20.75,19.75,20.42,33917697
38,2018-02-15,19.66,20.57,19.58,19.75,40746054
39,2018-02-14,18.35,19.85,18.21,19.56,38743349
40,2018-02-13,18.39,19.11,18.325,18.58,28873293
41,2018-02-12,18.84,19.38,18.52,18.63,30537263
42,2018-02-09,19.07,19.648,18.12,18.8,50072813
43,2018-02-08,20.74,20.9,18.69,19.39,119751685
44,2018-02-07,17.15,21.22,16.96,20.75,232325074
45,2018-02-06,13.5,14.2,13.47,14.06,45110182
46,2018-02-05,13.35,14.03,13.32,13.85,20637725
47,2018-02-02,13.59,13.89,13.51,13.71,18123306
48,2018-02-01,13.43,13.9999,13.4,13.92,13306049
49,2018-01-31,13.31,13.62,13.26,13.52,13587041
50,2018-01-30,13.3,13.4,13.15,13.26,12413611
51,2018-01-29,13.54,13.67,13.3707,13.47,13584217
52,2018-01-26,13.75,13.79,13.43,13.56,17366168
53,2018-01-25,14.28,14.3,13.7,13.71,23551647
54,2018-01-24,14.31,14.77,14.28,14.44,11979574
55,2018-01-23,14.19,14.67,14.13,14.25,13418836
56,2018-01-22,13.92,14.2,13.67,14.17,12479737
57,2018-01-19,14.01,14.24,13.82,14.04,16123860
58,2018-01-18,13.66,14.02,13.62,14.01,16316872
59,2018-01-17,13.61,13.82,13.35,13.52,14576964
60,2018-01-16,14.11,14.11,13.4,13.5,26654386
61,2018-01-12,14.17,14.32,13.92,14.11,21011262
62,2018-01-11,14.58,14.93,14.48,14.6,12497491
63,2018-01-10,14.07,14.67,13.921,14.65,14725775
64,2018-01-09,14.15,14.28,14.01,14.1,14929119
65,2018-01-08,14.21,14.28,13.58,14.06,27033592
66,2018-01-05,14.51,14.75,14.38,14.5,18828045
67,2018-01-04,14.76,15.0,14.274,14.59,27231995
68,2018-01-03,15.0,15.38,14.72,15.31,15921429
69,2018-01-02,14.69,15.01,14.61,14.95,9970989
70,2017-12-29,14.84,14.89,14.55,14.61,9518403
71,2017-12-28,14.82,15.0647,14.77,14.85,8072901
72,2017-12-27,14.83,15.05,14.83,14.84,6726173
73,2017-12-26,15.02,15.1301,14.84,15.01,6755329
74,2017-12-22,15.05,15.38,14.92,15.15,12087059
75,2017-12-21,15.33,15.68,15.2,15.37,12107131
76,2017-12-20,15.69,15.89,15.47,15.5,10167284
77,2017-12-19,15.91,16.04,15.65,15.77,12419194
78,2017-12-18,15.95,16.37,15.9339,16.1,20227811
79,2017-12-15,16.0,16.04,15.63,15.75,19450444
80,2017-12-14,15.92,16.45,15.76,16.04,24942473
81,2017-12-13,15.8,16.18,15.79,15.96,14183714
82,2017-12-12,16.0,16.12,15.53,15.93,22254326
83,2017-12-11,15.14,16.305,15.07,16.22,34900125
84,2017-12-08,14.64,15.14,14.59,15.07,20226087
85,2017-12-07,14.65,14.77,14.28,14.7,16367100
86,2017-12-06,14.58,15.05,14.36,14.6,25883088
87,2017-12-05,14.4,15.1,14.02,14.94,51515768
88,2017-12-04,13.95,14.0,13.085,13.57,28799237
89,2017-12-01,13.67,13.9,13.41,13.87,19266925
90,2017-11-30,13.41,14.0,13.36,13.78,26854988
91,2017-11-29,13.54,13.99,13.2507,13.7,30098478
92,2017-11-28,13.37,13.74,13.02,13.61,23774060
93,2017-11-27,12.87,13.38,12.86,13.06,19341806
94,2017-11-24,12.67,13.02,12.67,12.97,12772779
95,2017-11-22,12.35,12.64,12.35,12.62,14022076
96,2017-11-21,12.52,12.59,12.32,12.34,19010319
97,2017-11-20,13.1,13.11,12.29,12.41,30676066
98,2017-11-17,12.6,13.01,12.51,12.99,17563767
99,2017-11-16,12.5,12.68,12.38,12.56,15701689
100,2017-11-15,12.32,12.75,12.17,12.46,14410375
101,2017-11-14,12.41,12.7,12.25,12.57,13962597
102,2017-11-13,12.83,12.95,12.35,12.4,19251268
103,2017-11-10,12.5,12.84,12.31,12.76,32141043
104,2017-11-09,12.64,12.74,12.23,12.38,51695840
105,2017-11-08,13.47,14.09,12.1,12.91,162744709
106,2017-11-07,14.87,15.53,14.73,15.12,40978251
107,2017-11-06,15.19,15.29,14.8,14.83,17736885
108,2017-11-03,14.64,15.28,14.6,15.27,12784357
109,2017-11-02,14.45,14.87,14.4,14.55,11810548
110,2017-11-01,15.45,15.52,14.39,14.51,20443841
111,2017-10-31,15.65,15.73,15.17,15.34,13008916
112,2017-10-30,15.13,16.27,15.05,15.68,23657796
113,2017-10-27,14.27,15.48,14.22,15.44,23767576
114,2017-10-26,14.35,14.76,14.11,14.39,17071219
115,2017-10-25,14.7,14.93,13.96,14.16,22943880
116,2017-10-24,14.87,15.08,14.58,14.59,15448258
117,2017-10-23,15.58,15.69,14.89,14.97,19585379
118,2017-10-20,15.39,15.57,15.21,15.56,12876979
119,2017-10-19,15.47,15.59,15.18,15.25,19244600
120,2017-10-18,16.3,16.349,15.69,15.75,18329969
121,2017-10-17,16.29,16.61,16.05,16.09,15090970
122,2017-10-16,16.68,16.73,15.91,16.07,20894928
123,2017-10-13,16.48,16.88,16.22,16.5,24513431
124,2017-10-12,16.07,16.86,15.82,16.55,63141497
125,2017-10-11,14.64,15.98,14.465,15.98,40908094
126,2017-10-10,14.71,14.87,14.32,14.34,13775068
127,2017-10-09,14.81,14.92,14.67,14.71,9183338
128,2017-10-06,14.38,14.84,14.32,14.79,11941136
129,2017-10-05,14.3,14.56,14.1,14.48,13162735
130,2017-10-04,14.84,14.9,14.35,14.53,15687480
131,2017-10-03,14.87,15.1,14.59,14.64,16753837
132,2017-10-02,14.6,15.04,14.405,14.88,21212148
133,2017-09-29,14.43,14.7,14.3,14.54,20577671
134,2017-09-28,14.2,14.59,13.97,14.45,17561111
135,2017-09-27,14.0,14.25,13.825,14.12,16667613
136,2017-09-26,13.33,13.98,13.3,13.91,20062271
137,2017-09-25,13.5,13.51,13.07,13.22,18483909
138,2017-09-22,13.72,13.92,13.62,13.7,12309753
139,2017-09-21,13.99,14.11,13.51,13.77,25231686
140,2017-09-20,14.68,14.7,14.05,14.16,24856596
141,2017-09-19,14.9,14.9,14.46,14.72,23447127
142,2017-09-18,15.32,15.33,14.81,14.92,20935098
143,2017-09-15,14.99,15.31,14.93,15.25,34145892
144,2017-09-14,14.95,15.18,14.82,14.91,16333746
